Date,Open,High,Low,Close,Volume,Currency
1/3/2000,122.25,124,116.1,116.5,6640,ETB
1/4/2000,116.25,120.5,115.75,116.25,5492,ETB
1/5/2000,115,121,115,118.6,6165,ETB
1/6/2000,119,121.4,116.5,116.85,5094,ETB
1/7/2000,117.25,117.75,113.8,114.15,6855,ETB
1/10/2000,123.5,126,116.7,117.55,7499,ETB
1/11/2000,115.5,118.25,115.5,117.8,3976,ETB
1/12/2000,117.8,120.5,116.9,118.95,5184,ETB
1/13/2000,119.25,120,117.5,118.55,3717,ETB
1/14/2000,117.75,120.25,112.25,112.55,10115,ETB
1/18/2000,111.75,118.25,110.6,115.75,7364,ETB
1/19/2000,116.5,118.25,114.75,116.7,6626,ETB
1/20/2000,118.25,118.8,111.7,112,8834,ETB
1/21/2000,112,113.5,110.8,111.2,5625,ETB
1/24/2000,110.95,114.4,110.95,111.9,5821,ETB
1/25/2000,111.6,113.7,111.6,112.85,4014,ETB
1/26/2000,112.5,115.3,111.9,115.15,5796,ETB
1/27/2000,114.75,116.4,112.8,114.6,5477,ETB
1/28/2000,115.1,115.4,113.7,114.7,3334,ETB
1/31/2000,113.75,114,110.5,111.1,6465,ETB
2/1/2000,110.5,112.75,109.8,111.65,5964,ETB
2/2/2000,112.75,114.25,111.75,112.25,5055,ETB
2/3/2000,111.25,113.5,111.25,112.95,4181,ETB
2/4/2000,112.5,114.5,112.5,112.9,4107,ETB
2/7/2000,113.9,114.25,111.25,111.7,6155,ETB
2/8/2000,112.25,112.4,108.5,108.55,11717,ETB
2/9/2000,108.25,109.4,106.9,107.7,6700,ETB
2/10/2000,108,109,107.3,108.75,5121,ETB
2/11/2000,108.75,110.7,108.4,108.8,6053,ETB
2/14/2000,106.9,107.6,104.25,105,7749,ETB
2/15/2000,106,106.7,105.3,105.8,6638,ETB
2/16/2000,105.1,107,104.9,104.95,8616,ETB
2/17/2000,104.8,105.75,104.4,105.35,7419,ETB
2/18/2000,105.75,106.4,103.75,104.3,2419,ETB
2/22/2000,103,104.75,103,103.2,1209,ETB
2/23/2000,103,104.25,102.5,103.6,1237,ETB
2/24/2000,103.8,104,101.75,101.75,727,ETB
2/25/2000,101.75,102,98.2,98.8,1908,ETB
2/28/2000,98,101.75,98,101.65,473,ETB
2/29/2000,102,103,99.45,99.9,287,ETB
3/1/2000,101.25,101.7,100.25,101.15,166,ETB
3/2/2000,102.5,105.5,102.5,105.1,198,ETB
3/3/2000,104.75,105.4,103.85,104.35,187,ETB
3/6/2000,103.5,106.5,103.5,106.3,106,ETB
3/7/2000,108,108.6,108,108.4,171,ETB
3/8/2000,108.75,108.75,107,107.4,67,ETB
3/9/2000,108.25,109,108,107.2,93,ETB
3/10/2000,106.5,106.7,105.8,106.1,112,ETB
3/13/2000,106.5,106.5,105.75,106,91,ETB
3/14/2000,106.1,106.5,102.25,102.55,198,ETB
3/15/2000,103,103,101.5,103,178,ETB
3/16/2000,103.5,106.75,103.5,106.35,169,ETB
3/17/2000,105,106.15,105.5,106.1,138,ETB
3/20/2000,106,105,103.25,103.1,186,ETB
3/21/2000,103.5,104,103.5,103.75,0,ETB
3/22/2000,104.5,105.9,104.5,105.8,3326,ETB
3/23/2000,105.75,107,101.5,102.1,9191,ETB
3/24/2000,102.75,103.25,101.05,103.15,4240,ETB
3/27/2000,102.6,103.25,101.35,103.15,3871,ETB
3/28/2000,104,105.3,103.8,104.5,4242,ETB
3/29/2000,104.6,105.25,103.5,103.9,3651,ETB
3/30/2000,103.75,104.4,103.25,103.5,2999,ETB
3/31/2000,103.25,104.6,102,103.7,5523,ETB
4/3/2000,103.1,103.7,101.3,102.1,4398,ETB
4/4/2000,102.1,102.4,99.9,100.1,5658,ETB
4/5/2000,98.9,102.5,97.2,101.8,9620,ETB
4/6/2000,100.5,101.5,98.7,100.85,6398,ETB
4/7/2000,100.3,101.3,99.35,99.6,4023,ETB
4/10/2000,98.5,99.3,96.5,96.65,6840,ETB
4/11/2000,96,97.25,96,96.55,5538,ETB
4/12/2000,95.6,96.5,94.1,94.2,9650,ETB
4/13/2000,93.9,94.9,93.25,94.7,7596,ETB
4/14/2000,94,95.25,91.95,92.65,7347,ETB
4/17/2000,92.8,93.5,92.3,92.8,9443,ETB
4/18/2000,92,95.8,92,94.05,14039,ETB
4/19/2000,94.5,95.8,94,95.7,2932,ETB
4/20/2000,95.7,98.2,95.7,97.75,1044,ETB
4/24/2000,98,98.4,94,94.25,440,ETB
4/25/2000,94,95.75,94,95.6,540,ETB
4/26/2000,95,95,94.25,94.75,175,ETB
4/27/2000,94.75,95.35,94.5,94.85,618,ETB
4/28/2000,94.5,96,94,95.3,202,ETB
5/1/2000,96,100.3,99,100.3,276,ETB
5/2/2000,100,100.25,98,99.1,149,ETB
5/3/2000,98,98.35,94.25,94.45,242,ETB
5/4/2000,94.5,97,95.8,96.85,140,ETB
5/5/2000,97,97.5,96.5,96.85,291,ETB
5/8/2000,95.5,96.7,96,97.15,275,ETB
5/9/2000,96.75,99.1,97,97.45,230,ETB
5/10/2000,98.5,98.5,97,97.25,112,ETB
5/11/2000,96,97,95.1,95.9,37,ETB
5/12/2000,95,95.5,93,91.8,137,ETB
5/15/2000,92.25,92.75,91.25,91.25,67,ETB
5/16/2000,92.5,92.5,92,92.25,146,ETB
5/17/2000,91.75,92.25,90.35,91.8,296,ETB
5/18/2000,91,93,91,91.5,211,ETB
5/19/2000,95.3,98.75,94.8,97.95,8338,ETB
5/22/2000,97.5,104.7,97.5,103.3,14769,ETB
5/23/2000,103,104.25,101.3,103.7,7216,ETB
5/24/2000,103.25,103.5,100.75,101.85,4667,ETB
5/25/2000,98.5,101.4,98.5,99.25,6264,ETB
5/26/2000,97.5,99.75,97.5,99.2,3239,ETB
5/30/2000,99,100.9,99,100.4,3895,ETB
5/31/2000,101.1,101.7,92.6,93,11773,ETB
6/1/2000,93.05,97.25,93.05,94.45,7358,ETB
6/2/2000,94.3,96.75,94.3,95.55,3308,ETB
6/5/2000,94.1,94.9,93,93.35,4290,ETB
6/6/2000,91.9,93,88.8,89.15,10278,ETB
6/7/2000,90.5,92.9,90.5,92.05,6901,ETB
6/8/2000,90.25,94.75,90.25,92.55,8028,ETB
6/9/2000,92,92.75,91.25,91.85,4287,ETB
6/12/2000,91,93.25,89.5,91.15,5043,ETB
6/13/2000,91.05,91.35,89.1,90.8,5001,ETB
6/14/2000,89.75,91.3,89.25,89.85,6995,ETB
6/15/2000,89.25,89.8,86.5,88.15,7002,ETB
6/16/2000,88.4,89,86.75,87.25,4197,ETB
6/19/2000,86.25,88.25,86.25,87.2,5391,ETB
6/20/2000,86.75,88,86.75,87.25,6173,ETB
6/21/2000,86.7,87.7,84,84.45,9823,ETB
6/22/2000,85.25,86.75,85.25,86.15,1687,ETB
6/23/2000,86.75,89.5,86.75,87.05,1151,ETB
6/26/2000,86.5,87.4,86,87.15,184,ETB
6/27/2000,86,88.5,86,88.5,374,ETB
6/28/2000,88.5,89.25,87.3,87.65,281,ETB
6/29/2000,87.25,87.65,86.3,86.4,150,ETB
6/30/2000,86.9,87,84.6,84.85,180,ETB
7/5/2000,84.75,85.9,85,85.4,120,ETB
7/6/2000,84.6,85.5,83,82.85,262,ETB
7/7/2000,82.25,82.75,79.75,80.8,173,ETB
7/10/2000,83.5,85.5,83.5,84,46,ETB
7/11/2000,83,91.15,84.5,90.1,41,ETB
7/12/2000,90.5,90.5,88.8,89.7,12,ETB
7/13/2000,93,99.5,93,99.2,20,ETB
7/14/2000,92,95.5,89.4,89.15,45,ETB
7/17/2000,97.5,98.5,98.5,98.65,59,ETB
7/18/2000,118,119,113,116.5,93,ETB
7/19/2000,113,113,112.25,111.15,63,ETB
7/20/2000,100,104,95.35,97.75,10469,ETB
7/21/2000,99.5,103.25,96.25,96.65,7265,ETB
7/24/2000,87,89,84.4,86.3,10789,ETB
7/25/2000,85.5,87.25,85,85.2,4751,ETB
7/26/2000,85,87.5,85,86.95,3200,ETB
7/27/2000,86.6,88.75,86,86.1,3893,ETB
7/28/2000,86.75,88.1,86.75,87.4,2476,ETB
7/31/2000,85.75,87,84.1,86.45,3993,ETB
8/1/2000,86.5,87.75,86.1,86.3,2738,ETB
8/2/2000,86.8,87.5,86,86.45,2630,ETB
8/3/2000,86.5,87.5,85,85.85,2664,ETB
8/4/2000,85.85,86.25,85,85.6,2522,ETB
8/7/2000,85.5,86,84.8,85.4,2529,ETB
8/8/2000,85.5,86,83.4,83.7,4497,ETB
8/9/2000,82.9,83.5,79.3,79.5,8564,ETB
8/10/2000,79.5,81.2,78.45,79.6,5813,ETB
8/11/2000,79.6,81,79.6,80.65,3627,ETB
8/14/2000,79.75,80,76.5,78.8,6715,ETB
8/15/2000,78.35,79.1,77.75,78.6,3717,ETB
8/16/2000,75.6,78.5,75.6,78.3,5053,ETB
8/17/2000,78.3,79.15,77.4,78.55,4935,ETB
8/18/2000,78.75,78.9,77.5,78.4,3283,ETB
8/21/2000,77.25,78.5,77.1,77.5,5703,ETB
8/22/2000,76.25,77.8,76.25,77.1,6549,ETB
8/23/2000,76.75,77.4,74.5,74.6,2306,ETB
8/24/2000,75,78.5,75,77.8,709,ETB
8/25/2000,78,78.25,77.4,77.75,347,ETB
8/28/2000,78,78,74.5,75.2,283,ETB
8/29/2000,75.25,75.7,74.4,74.7,327,ETB
8/30/2000,74,74.75,73.6,73.9,186,ETB
8/31/2000,73.5,75.2,73.5,74.5,127,ETB
9/1/2000,75.5,77,75,75,110,ETB
9/5/2000,74,73.7,72.2,73.1,307,ETB
9/6/2000,73.1,75.25,74.5,75.25,50,ETB
9/7/2000,75.5,78,76.5,78,65,ETB
9/8/2000,78,78,76.6,77.4,37,ETB
9/11/2000,76.75,78,76.5,77.75,15,ETB
9/12/2000,78.5,78.5,78,78.65,22,ETB
9/13/2000,77,80,79,79.55,42,ETB
9/14/2000,79,78,76.5,77.2,14,ETB
9/15/2000,76.25,77.75,76,76.25,47,ETB
9/18/2000,75,77.5,77,77.4,9,ETB
9/19/2000,76.5,77,77,77.2,0,ETB
9/20/2000,80.25,81.25,78,79.15,7975,ETB
9/21/2000,78.3,79.15,77.6,77.8,4583,ETB
9/22/2000,78.25,78.95,77.4,78,3611,ETB
9/25/2000,78.25,79.1,78.2,79.05,1921,ETB
9/26/2000,79.5,82.2,79.5,81.75,6515,ETB
9/27/2000,81.25,81.85,78.2,78.95,7089,ETB
9/28/2000,79.3,80,78.95,79.85,2795,ETB
9/29/2000,78.8,84.4,77.8,83,10181,ETB
10/2/2000,81,82.15,78.8,79.35,6085,ETB
10/3/2000,78.8,79.85,77.6,79.4,4868,ETB
10/4/2000,78.5,79.45,78.4,79.35,2209,ETB
10/5/2000,79,79.5,78.25,78.7,2511,ETB
10/6/2000,79,80.25,78.3,79.45,3724,ETB
10/9/2000,79.25,80,79.1,79.95,2029,ETB
10/10/2000,79.8,80.8,78.5,80.75,4796,ETB
10/11/2000,81,83.25,81,83.15,7525,ETB
10/12/2000,83,84,79.9,81.3,5784,ETB
10/13/2000,80.1,81.5,79.6,81.05,3264,ETB
10/16/2000,81.65,87.5,81.65,85.65,10815,ETB
10/17/2000,84.25,91,84.25,88.7,9230,ETB
10/18/2000,90,91,87.3,88.25,7017,ETB
10/19/2000,87.5,88,85.9,86.7,4196,ETB
10/20/2000,86.7,87.2,83.5,84.15,5330,ETB
10/23/2000,83.75,85.15,78,78.45,11524,ETB
10/24/2000,78.8,79.9,78.8,79.25,4457,ETB
10/25/2000,77.75,79,77.75,78.05,3863,ETB
10/26/2000,78.25,79.7,75.1,75.4,8500,ETB
10/27/2000,75.15,76.1,75.1,75.6,2783,ETB
10/30/2000,74.25,75.35,73.35,73.5,5718,ETB
10/31/2000,73.75,75.15,73.5,74.4,5116,ETB
11/1/2000,75,75.9,73.5,73.9,3804,ETB
11/2/2000,74.1,75,73.9,74.25,2799,ETB
11/3/2000,73,74,72.55,73.6,4846,ETB
11/6/2000,73.75,75.15,73.75,74.7,3594,ETB
11/7/2000,74,74.7,74,74.6,3011,ETB
11/8/2000,73.3,75.95,73.3,75.3,6203,ETB
11/9/2000,73.75,75.25,73.75,74,5304,ETB
11/10/2000,74,75,73.8,74.15,4678,ETB
11/13/2000,73.5,74,71,71.45,6782,ETB
11/14/2000,72,72.25,70.75,71.4,6893,ETB
11/15/2000,71.3,71.7,70.25,70.3,7087,ETB
11/16/2000,70.15,70.5,68.7,68.85,8594,ETB
11/17/2000,68,69.3,68,68.55,11530,ETB
11/20/2000,69,70.9,68.9,70.35,2131,ETB
11/21/2000,69.8,70.5,67.35,68.55,735,ETB
11/22/2000,68.7,69,68,68.3,313,ETB
11/27/2000,67.15,69.25,67.15,68,511,ETB
11/28/2000,68.25,69.5,68.25,69.5,79,ETB
11/29/2000,69.5,70.5,69.5,70.1,345,ETB
11/30/2000,69.5,70.4,67.2,67.2,102,ETB
12/1/2000,68.2,68.2,66.5,67,97,ETB
12/4/2000,66,68,65.75,67.3,147,ETB
12/5/2000,66,67,66.25,66.5,82,ETB
12/6/2000,66.05,67.25,66,66.15,41,ETB
12/7/2000,66.75,67.25,66,66.35,32,ETB
12/8/2000,66.75,66.75,64,63.65,34,ETB
12/11/2000,63.5,65,64.7,64.1,114,ETB
12/12/2000,64,64,64,64.2,62,ETB
12/13/2000,64.75,65,64.55,63.75,48,ETB
12/14/2000,63.25,62.9,61.75,61.55,36,ETB
12/15/2000,63,63,62.5,62.9,55,ETB
12/18/2000,64,64,63,62.7,0,ETB
12/19/2000,65.6,66.2,65,65.05,4030,ETB
12/20/2000,65.4,65.6,64.9,65.45,3008,ETB
12/21/2000,65.8,67.6,65.8,66.55,5648,ETB
12/22/2000,65.9,66.3,65,65.4,2477,ETB
12/26/2000,65.75,69,65.75,67.3,4678,ETB
12/27/2000,67,67.75,65.7,66.4,3745,ETB
12/28/2000,66.25,67.5,66.25,67.35,3453,ETB
12/29/2000,67.25,67.5,65.3,65.55,3475,ETB
1/2/2001,65.1,65.4,62.9,63.4,6496,ETB
1/3/2001,63.6,64,62.6,63.45,4711,ETB
1/4/2001,63.65,63.9,63,63.35,3252,ETB
1/5/2001,63.2,64.6,62.5,64.35,4630,ETB
1/8/2001,65.5,68,63,63.85,8190,ETB
1/9/2001,63.3,63.9,62,63.8,5797,ETB
1/10/2001,63.35,64,62.85,63.35,3340,ETB
1/11/2001,63.35,64.8,63.35,63.6,3775,ETB
1/12/2001,64,65.5,63.2,65,6051,ETB
1/16/2001,66.25,67.5,64.6,67.4,7967,ETB
1/17/2001,67.1,71.25,66.6,70.2,14173,ETB
1/18/2001,69.25,70.15,65.75,66.75,9236,ETB
1/19/2001,67.25,68.7,67,68.3,5281,ETB
1/22/2001,68.7,71.75,68.5,71.25,7907,ETB
1/23/2001,72,72.5,68.75,69.85,7383,ETB
1/24/2001,70.7,71.2,69.1,70.05,5022,ETB
1/25/2001,67.5,69.25,65.9,67.85,8197,ETB
1/26/2001,68,68.5,66.95,67.1,2329,ETB
1/29/2001,66.1,66.5,65.25,65.4,4099,ETB
1/30/2001,63,64.75,63,64.2,6233,ETB
1/31/2001,63.75,64.85,63.25,63.75,6677,ETB
2/1/2001,64,65,63.5,64.7,4335,ETB
2/2/2001,64.75,65,62.9,63.2,6431,ETB
2/5/2001,62.5,63.4,62.25,62.7,3659,ETB
